LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1728671896.59,4455,3064063200000.0,2024-10-11 18:38:16.589999914+00:00,2024-10-11 20:38:16.589999914+02:00
1728671910.99,4455,3187165400000.0,2024-10-11 18:38:30.990000010+00:00,2024-10-11 20:38:30.990000010+02:00
1728671925.3899999,4455,3145684400000.0,2024-10-11 18:38:45.389999866+00:00,2024-10-11 20:38:45.389999866+02:00
1728671939.79,4455,3128254000000.0,2024-10-11 18:38:59.789999962+00:00,2024-10-11 20:38:59.789999962+02:00
1728671954.1899998,4455,3147863200000.0,2024-10-11 18:39:14.189999819+00:00,2024-10-11 20:39:14.189999819+02:00
1728671968.59,4455,3109399000000.0,2024-10-11 18:39:28.589999914+00:00,2024-10-11 20:39:28.589999914+02:00
1728671982.99,4455,608052800000.0,2024-10-11 18:39:42.990000010+00:00,2024-10-11 20:39:42.990000010+02:00
1728671997.3899999,4455,3106214600000.0,2024-10-11 18:39:57.389999866+00:00,2024-10-11 20:39:57.389999866+02:00
1728672011.79,4455,3123896400000.0,2024-10-11 18:40:11.789999962+00:00,2024-10-11 20:40:11.789999962+02:00
1728672026.1899998,4455,3115684000000.0,2024-10-11 18:40:26.189999819+00:00,2024-10-11 20:40:26.189999819+02:00
1728672040.59,4455,3058700000000.0,2024-10-11 18:40:40.589999914+00:00,2024-10-11 20:40:40.589999914+02:00
1728672054.99,4455,3119790200000.0,2024-10-11 18:40:54.990000010+00:00,2024-10-11 20:40:54.990000010+02:00
1728672069.3899999,4455,3160684600000.0,2024-10-11 18:41:09.389999866+00:00,2024-10-11 20:41:09.389999866+02:00
1728672083.79,4455,3118281800000.0,2024-10-11 18:41:23.789999962+00:00,2024-10-11 20:41:23.789999962+02:00
1728672098.1899998,4455,3111494000000.0,2024-10-11 18:41:38.189999819+00:00,2024-10-11 20:41:38.189999819+02:00
1728672112.59,4455,3118365600000.0,2024-10-11 18:41:52.589999914+00:00,2024-10-11 20:41:52.589999914+02:00
1728672126.99,4455,3089119400000.0,2024-10-11 18:42:06.990000010+00:00,2024-10-11 20:42:06.990000010+02:00
1728672141.3899999,4455,3140824000000.0,2024-10-11 18:42:21.389999866+00:00,2024-10-11 20:42:21.389999866+02:00
1728672155.79,4455,3035906400000.0,2024-10-11 18:42:35.789999962+00:00,2024-10-11 20:42:35.789999962+02:00
1728672170.1899998,4455,3118449400000.0,2024-10-11 18:42:50.189999819+00:00,2024-10-11 20:42:50.189999819+02:00
1728672184.59,4455,3127080800000.0,2024-10-11 18:43:04.589999914+00:00,2024-10-11 20:43:04.589999914+02:00
1728672198.99,4455,3130013800000.0,2024-10-11 18:43:18.990000010+00:00,2024-10-11 20:43:18.990000010+02:00
1728672213.3899999,4455,3123980200000.0,2024-10-11 18:43:33.389999866+00:00,2024-10-11 20:43:33.389999866+02:00
1728672227.79,4455,3123309800000.0,2024-10-11 18:43:47.789999962+00:00,2024-10-11 20:43:47.789999962+02:00
1728672242.1899998,4455,3112834800000.0,2024-10-11 18:44:02.189999819+00:00,2024-10-11 20:44:02.189999819+02:00
1728672256.59,4455,3123812600000.0,2024-10-11 18:44:16.589999914+00:00,2024-10-11 20:44:16.589999914+02:00
1728672270.99,4455,3148785000000.0,2024-10-11 18:44:30.990000010+00:00,2024-10-11 20:44:30.990000010+02:00
1728672285.3899999,4455,3094147400000.0,2024-10-11 18:44:45.389999866+00:00,2024-10-11 20:44:45.389999866+02:00
1728672299.79,4455,3133701000000.0,2024-10-11 18:44:59.789999962+00:00,2024-10-11 20:44:59.789999962+02:00
1728672314.1899998,4455,3118784600000.0,2024-10-11 18:45:14.189999819+00:00,2024-10-11 20:45:14.189999819+02:00
1728672328.59,4455,3141997200000.0,2024-10-11 18:45:28.589999914+00:00,2024-10-11 20:45:28.589999914+02:00
1728672342.99,4455,3151466600000.0,2024-10-11 18:45:42.990000010+00:00,2024-10-11 20:45:42.990000010+02:00
1728672357.3899999,4455,3146522400000.0,2024-10-11 18:45:57.389999866+00:00,2024-10-11 20:45:57.389999866+02:00
1728672371.79,4455,3117192400000.0,2024-10-11 18:46:11.789999962+00:00,2024-10-11 20:46:11.789999962+02:00
1728672386.1899998,4455,3093141800000.0,2024-10-11 18:46:26.189999819+00:00,2024-10-11 20:46:26.189999819+02:00
1728672400.59,4455,3066409600000.0,2024-10-11 18:46:40.589999914+00:00,2024-10-11 20:46:40.589999914+02:00
1728672414.99,4455,3086605400000.0,2024-10-11 18:46:54.990000010+00:00,2024-10-11 20:46:54.990000010+02:00
1728672429.3899999,4455,3105460400000.0,2024-10-11 18:47:09.389999866+00:00,2024-10-11 20:47:09.389999866+02:00
1728672443.79,4455,3206858400000.0,2024-10-11 18:47:23.789999962+00:00,2024-10-11 20:47:23.789999962+02:00
1728672458.1899998,4455,3099007800000.0,2024-10-11 18:47:38.189999819+00:00,2024-10-11 20:47:38.189999819+02:00
1728672472.59,4455,3146354800000.0,2024-10-11 18:47:52.589999914+00:00,2024-10-11 20:47:52.589999914+02:00
1728672486.99,4455,3155237600000.0,2024-10-11 18:48:06.990000010+00:00,2024-10-11 20:48:06.990000010+02:00
1728672501.3899999,4455,3085851200000.0,2024-10-11 18:48:21.389999866+00:00,2024-10-11 20:48:21.389999866+02:00
1728672515.79,4455,3136969200000.0,2024-10-11 18:48:35.789999962+00:00,2024-10-11 20:48:35.789999962+02:00
1728672530.1899998,4455,3167388600000.0,2024-10-11 18:48:50.189999819+00:00,2024-10-11 20:48:50.189999819+02:00
1728672544.59,4455,3145014000000.0,2024-10-11 18:49:04.589999914+00:00,2024-10-11 20:49:04.589999914+02:00
1728672558.99,4455,0.0,2024-10-11 18:49:18.990000010+00:00,2024-10-11 20:49:18.990000010+02:00
1728672573.3899999,4455,2095000000.0,2024-10-11 18:49:33.389999866+00:00,2024-10-11 20:49:33.389999866+02:00
1728672587.79,4455,3141578200000.0,2024-10-11 18:49:47.789999962+00:00,2024-10-11 20:49:47.789999962+02:00
1728672602.1899998,4455,3142332400000.0,2024-10-11 18:50:02.189999819+00:00,2024-10-11 20:50:02.189999819+02:00
1728672616.59,4455,3182388800000.0,2024-10-11 18:50:16.589999914+00:00,2024-10-11 20:50:16.589999914+02:00
1728672630.99,4455,3156243200000.0,2024-10-11 18:50:30.990000010+00:00,2024-10-11 20:50:30.990000010+02:00
1728672645.3899999,4455,3150125800000.0,2024-10-11 18:50:45.389999866+00:00,2024-10-11 20:50:45.389999866+02:00
1728672659.79,4455,3172835600000.0,2024-10-11 18:50:59.789999962+00:00,2024-10-11 20:50:59.789999962+02:00
1728672674.1899998,4455,3151801800000.0,2024-10-11 18:51:14.189999819+00:00,2024-10-11 20:51:14.189999819+02:00
1728672688.59,4455,3193953200000.0,2024-10-11 18:51:28.589999914+00:00,2024-10-11 20:51:28.589999914+02:00
1728672702.99,4455,3129259600000.0,2024-10-11 18:51:42.990000010+00:00,2024-10-11 20:51:42.990000010+02:00
1728672717.3899999,4455,3107471600000.0,2024-10-11 18:51:57.389999866+00:00,2024-10-11 20:51:57.389999866+02:00
1728672731.79,4455,3174595400000.0,2024-10-11 18:52:11.789999962+00:00,2024-10-11 20:52:11.789999962+02:00
1728672746.1899998,4455,3085264600000.0,2024-10-11 18:52:26.189999819+00:00,2024-10-11 20:52:26.189999819+02:00
1728672760.59,4455,3113672800000.0,2024-10-11 18:52:40.589999914+00:00,2024-10-11 20:52:40.589999914+02:00
1728672774.99,4455,3122723200000.0,2024-10-11 18:52:54.990000010+00:00,2024-10-11 20:52:54.990000010+02:00
1728672789.3899999,4455,3085180800000.0,2024-10-11 18:53:09.389999866+00:00,2024-10-11 20:53:09.389999866+02:00
1728672803.79,4455,3112834800000.0,2024-10-11 18:53:23.789999962+00:00,2024-10-11 20:53:23.789999962+02:00
1728672818.1899998,4455,3120712000000.0,2024-10-11 18:53:38.189999819+00:00,2024-10-11 20:53:38.189999819+02:00
1728672832.59,4455,3178953000000.0,2024-10-11 18:53:52.589999914+00:00,2024-10-11 20:53:52.589999914+02:00
1728672846.99,4455,3138980400000.0,2024-10-11 18:54:06.990000010+00:00,2024-10-11 20:54:06.990000010+02:00
1728672861.3899999,4455,3166215400000.0,2024-10-11 18:54:21.389999866+00:00,2024-10-11 20:54:21.389999866+02:00
1728672875.79,4455,3137639600000.0,2024-10-11 18:54:35.789999962+00:00,2024-10-11 20:54:35.789999962+02:00
1728672890.1899998,4455,1734324800000.0,2024-10-11 18:54:50.189999819+00:00,2024-10-11 20:54:50.189999819+02:00
1728672904.59,4455,3122304200000.0,2024-10-11 18:55:04.589999914+00:00,2024-10-11 20:55:04.589999914+02:00
1728672918.99,4455,3216914400000.0,2024-10-11 18:55:18.990000010+00:00,2024-10-11 20:55:18.990000010+02:00
1728672933.3899999,4455,3390967000000.0,2024-10-11 18:55:33.389999866+00:00,2024-10-11 20:55:33.389999866+02:00
1728672947.79,4455,3182053600000.0,2024-10-11 18:55:47.789999962+00:00,2024-10-11 20:55:47.789999962+02:00
1728672962.1899998,4455,3193031400000.0,2024-10-11 18:56:02.189999819+00:00,2024-10-11 20:56:02.189999819+02:00
1728672976.59,4455,3179874800000.0,2024-10-11 18:56:16.589999914+00:00,2024-10-11 20:56:16.589999914+02:00
1728672990.99,4455,3153477800000.0,2024-10-11 18:56:30.990000010+00:00,2024-10-11 20:56:30.990000010+02:00
1728673005.3899999,4455,3202919800000.0,2024-10-11 18:56:45.389999866+00:00,2024-10-11 20:56:45.389999866+02:00
1728673019.79,4455,1778068400000.0,2024-10-11 18:56:59.789999962+00:00,2024-10-11 20:56:59.789999962+02:00
1728673034.1899998,4455,3220853000000.0,2024-10-11 18:57:14.189999819+00:00,2024-10-11 20:57:14.189999819+02:00
1728673048.59,4455,3198729800000.0,2024-10-11 18:57:28.589999914+00:00,2024-10-11 20:57:28.589999914+02:00
1728673062.99,4455,2389389400000.0,2024-10-11 18:57:42.990000010+00:00,2024-10-11 20:57:42.990000010+02:00
1728673077.3899999,4455,3176522800000.0,2024-10-11 18:57:57.389999866+00:00,2024-10-11 20:57:57.389999866+02:00
1728673091.79,4455,3177696000000.0,2024-10-11 18:58:11.789999962+00:00,2024-10-11 20:58:11.789999962+02:00
1728673106.1899998,4455,3157835400000.0,2024-10-11 18:58:26.189999819+00:00,2024-10-11 20:58:26.189999819+02:00
1728673120.59,4455,3125991400000.0,2024-10-11 18:58:40.589999914+00:00,2024-10-11 20:58:40.589999914+02:00
1728673134.99,4455,3176187600000.0,2024-10-11 18:58:54.990000010+00:00,2024-10-11 20:58:54.990000010+02:00
1728673149.3899999,4455,3157416400000.0,2024-10-11 18:59:09.389999866+00:00,2024-10-11 20:59:09.389999866+02:00
1728673163.79,4455,3166634400000.0,2024-10-11 18:59:23.789999962+00:00,2024-10-11 20:59:23.789999962+02:00
1728673178.1899998,4455,3146857600000.0,2024-10-11 18:59:38.189999819+00:00,2024-10-11 20:59:38.189999819+02:00
1728673192.59,4455,3104957600000.0,2024-10-11 18:59:52.589999914+00:00,2024-10-11 20:59:52.589999914+02:00
1728673206.99,4455,3140824000000.0,2024-10-11 19:00:06.990000010+00:00,2024-10-11 21:00:06.990000010+02:00
1728673221.3899999,4455,3197556600000.0,2024-10-11 19:00:21.389999866+00:00,2024-10-11 21:00:21.389999866+02:00
1728673235.79,4455,3157081200000.0,2024-10-11 19:00:35.789999962+00:00,2024-10-11 21:00:35.789999962+02:00
1728673250.1899998,4455,2023518600000.0,2024-10-11 19:00:50.189999819+00:00,2024-10-11 21:00:50.189999819+02:00
1728673264.59,4455,3209707600000.0,2024-10-11 19:01:04.589999914+00:00,2024-10-11 21:01:04.589999914+02:00
1728673278.99,4455,3145600600000.0,2024-10-11 19:01:18.990000010+00:00,2024-10-11 21:01:18.990000010+02:00
1728673293.3899999,4455,3169567400000.0,2024-10-11 19:01:33.389999866+00:00,2024-10-11 21:01:33.389999866+02:00
1728673307.79,4455,3182724000000.0,2024-10-11 19:01:47.789999962+00:00,2024-10-11 21:01:47.789999962+02:00
1728673322.1899998,4455,3180629000000.0,2024-10-11 19:02:02.189999819+00:00,2024-10-11 21:02:02.189999819+02:00
1728673336.59,4455,3154818600000.0,2024-10-11 19:02:16.589999914+00:00,2024-10-11 21:02:16.589999914+02:00
1728673350.99,4455,3202584600000.0,2024-10-11 19:02:30.990000010+00:00,2024-10-11 21:02:30.990000010+02:00
1728673365.3899999,4455,3169902600000.0,2024-10-11 19:02:45.389999866+00:00,2024-10-11 21:02:45.389999866+02:00
1728673379.79,4455,3187752000000.0,2024-10-11 19:02:59.789999962+00:00,2024-10-11 21:02:59.789999962+02:00
1728673394.1899998,4455,3203255000000.0,2024-10-11 19:03:14.189999819+00:00,2024-10-11 21:03:14.189999819+02:00
1728673408.59,4455,3164288000000.0,2024-10-11 19:03:28.589999914+00:00,2024-10-11 21:03:28.589999914+02:00
1728673422.99,4455,3121047200000.0,2024-10-11 19:03:42.990000010+00:00,2024-10-11 21:03:42.990000010+02:00
1728673437.3899999,4455,3199065000000.0,2024-10-11 19:03:57.389999866+00:00,2024-10-11 21:03:57.389999866+02:00
1728673451.79,4455,3208450600000.0,2024-10-11 19:04:11.789999962+00:00,2024-10-11 21:04:11.789999962+02:00
1728673466.1899998,4455,3136298800000.0,2024-10-11 19:04:26.189999819+00:00,2024-10-11 21:04:26.189999819+02:00
1728673480.59,4455,3143673200000.0,2024-10-11 19:04:40.589999914+00:00,2024-10-11 21:04:40.589999914+02:00
1728673494.99,4455,3189009000000.0,2024-10-11 19:04:54.990000010+00:00,2024-10-11 21:04:54.990000010+02:00
1728673509.3899999,4455,3158003000000.0,2024-10-11 19:05:09.389999866+00:00,2024-10-11 21:05:09.389999866+02:00
1728673523.79,4455,3138645200000.0,2024-10-11 19:05:23.789999962+00:00,2024-10-11 21:05:23.789999962+02:00
1728673538.1899998,4455,3189344200000.0,2024-10-11 19:05:38.189999819+00:00,2024-10-11 21:05:38.189999819+02:00
1728673552.59,4455,3225043000000.0,2024-10-11 19:05:52.589999914+00:00,2024-10-11 21:05:52.589999914+02:00
1728673566.99,4455,3188171000000.0,2024-10-11 19:06:06.990000010+00:00,2024-10-11 21:06:06.990000010+02:00
1728673581.3899999,4455,3148198400000.0,2024-10-11 19:06:21.389999866+00:00,2024-10-11 21:06:21.389999866+02:00
1728673595.79,4455,3203255000000.0,2024-10-11 19:06:35.789999962+00:00,2024-10-11 21:06:35.789999962+02:00
1728673610.1899998,4455,3129762400000.0,2024-10-11 19:06:50.189999819+00:00,2024-10-11 21:06:50.189999819+02:00
1728673624.59,4455,3200824800000.0,2024-10-11 19:07:04.589999914+00:00,2024-10-11 21:07:04.589999914+02:00
1728673638.99,4455,3223450800000.0,2024-10-11 19:07:18.990000010+00:00,2024-10-11 21:07:18.990000010+02:00
1728673653.3899999,4455,3161103600000.0,2024-10-11 19:07:33.389999866+00:00,2024-10-11 21:07:33.389999866+02:00
1728673667.79,4455,3186411200000.0,2024-10-11 19:07:47.789999962+00:00,2024-10-11 21:07:47.789999962+02:00
1728673682.1899998,4455,3161355000000.0,2024-10-11 19:08:02.189999819+00:00,2024-10-11 21:08:02.189999819+02:00
1728673696.59,4455,3165293600000.0,2024-10-11 19:08:16.589999914+00:00,2024-10-11 21:08:16.589999914+02:00
1728673710.99,4455,3195629200000.0,2024-10-11 19:08:30.990000010+00:00,2024-10-11 21:08:30.990000010+02:00
1728673725.3899999,4455,3137472000000.0,2024-10-11 19:08:45.389999866+00:00,2024-10-11 21:08:45.389999866+02:00
1728673739.79,4455,3177779800000.0,2024-10-11 19:08:59.789999962+00:00,2024-10-11 21:08:59.789999962+02:00
1728673754.1899998,4455,3195880600000.0,2024-10-11 19:09:14.189999819+00:00,2024-10-11 21:09:14.189999819+02:00
1728673768.59,4455,3263088200000.0,2024-10-11 19:09:28.589999914+00:00,2024-10-11 21:09:28.589999914+02:00
1728673782.99,4455,3273060400000.0,2024-10-11 19:09:42.990000010+00:00,2024-10-11 21:09:42.990000010+02:00
1728673797.3899999,4455,3253199800000.0,2024-10-11 19:09:57.389999866+00:00,2024-10-11 21:09:57.389999866+02:00
1728673811.79,4455,3217165800000.0,2024-10-11 19:10:11.789999962+00:00,2024-10-11 21:10:11.789999962+02:00
1728673826.1899998,4455,3194372200000.0,2024-10-11 19:10:26.189999819+00:00,2024-10-11 21:10:26.189999819+02:00
1728673840.59,4455,3140153600000.0,2024-10-11 19:10:40.589999914+00:00,2024-10-11 21:10:40.589999914+02:00
1728673854.99,4455,3135796000000.0,2024-10-11 19:10:54.990000010+00:00,2024-10-11 21:10:54.990000010+02:00
1728673869.3899999,4455,3199484000000.0,2024-10-11 19:11:09.389999866+00:00,2024-10-11 21:11:09.389999866+02:00
1728673883.79,4455,3205517600000.0,2024-10-11 19:11:23.789999962+00:00,2024-10-11 21:11:23.789999962+02:00
1728673898.1899998,4455,3200154400000.0,2024-10-11 19:11:38.189999819+00:00,2024-10-11 21:11:38.189999819+02:00
1728673912.59,4455,3242641000000.0,2024-10-11 19:11:52.589999914+00:00,2024-10-11 21:11:52.589999914+02:00
1728673926.99,4455,1966786000000.0,2024-10-11 19:12:06.990000010+00:00,2024-10-11 21:12:06.990000010+02:00
1728673941.3899999,4455,3189092800000.0,2024-10-11 19:12:21.389999866+00:00,2024-10-11 21:12:21.389999866+02:00
1728673955.79,4455,3161606400000.0,2024-10-11 19:12:35.789999962+00:00,2024-10-11 21:12:35.789999962+02:00
1728673970.1899998,4455,3170405400000.0,2024-10-11 19:12:50.189999819+00:00,2024-10-11 21:12:50.189999819+02:00
1728673984.59,4455,3149623000000.0,2024-10-11 19:13:04.589999914+00:00,2024-10-11 21:13:04.589999914+02:00
1728673998.99,4455,3198478400000.0,2024-10-11 19:13:18.990000010+00:00,2024-10-11 21:13:18.990000010+02:00
1728674013.3899999,4455,3139734600000.0,2024-10-11 19:13:33.389999866+00:00,2024-10-11 21:13:33.389999866+02:00
1728674027.79,4455,3170992000000.0,2024-10-11 19:13:47.789999962+00:00,2024-10-11 21:13:47.789999962+02:00
1728674042.1899998,4455,3215908800000.0,2024-10-11 19:14:02.189999819+00:00,2024-10-11 21:14:02.189999819+02:00
1728674056.59,4455,3245490200000.0,2024-10-11 19:14:16.589999914+00:00,2024-10-11 21:14:16.589999914+02:00
1728674070.99,4455,3224791600000.0,2024-10-11 19:14:30.990000010+00:00,2024-10-11 21:14:30.990000010+02:00
1728674085.3899999,4455,3217501000000.0,2024-10-11 19:14:45.389999866+00:00,2024-10-11 21:14:45.389999866+02:00
1728674099.79,4455,3170489200000.0,2024-10-11 19:14:59.789999962+00:00,2024-10-11 21:14:59.789999962+02:00
1728674114.1899998,4455,3130684200000.0,2024-10-11 19:15:14.189999819+00:00,2024-10-11 21:15:14.189999819+02:00
1728674128.59,4455,3690216800000.0,2024-10-11 19:15:28.589999914+00:00,2024-10-11 21:15:28.589999914+02:00
1728674142.99,4455,3210545600000.0,2024-10-11 19:15:42.990000010+00:00,2024-10-11 21:15:42.990000010+02:00
1728674157.3899999,4455,3156829800000.0,2024-10-11 19:15:57.389999866+00:00,2024-10-11 21:15:57.389999866+02:00
1728674171.79,4455,3225210600000.0,2024-10-11 19:16:11.789999962+00:00,2024-10-11 21:16:11.789999962+02:00
1728674186.1899998,4455,3196048200000.0,2024-10-11 19:16:26.189999819+00:00,2024-10-11 21:16:26.189999819+02:00
1728674200.59,4455,3162360600000.0,2024-10-11 19:16:40.589999914+00:00,2024-10-11 21:16:40.589999914+02:00
