LOG_TIMESTAMP,SPS.T2:INTENSITY,XTIM.SX.WE-CT:Acquisition:acqC,UTC_DATE,CEST_DATE
1729880546.1899998,3211299800000.0,4455,2024-10-25 18:22:26.189999819+00:00,2024-10-25 20:22:26.189999819+02:00
1729880560.59,3177360800000.0,4455,2024-10-25 18:22:40.589999914+00:00,2024-10-25 20:22:40.589999914+02:00
1729880574.99,3231663200000.0,4455,2024-10-25 18:22:54.990000010+00:00,2024-10-25 20:22:54.990000010+02:00
1729880589.3899999,3200489600000.0,4455,2024-10-25 18:23:09.389999866+00:00,2024-10-25 20:23:09.389999866+02:00
1729880603.79,3222612800000.0,4455,2024-10-25 18:23:23.789999962+00:00,2024-10-25 20:23:23.789999962+02:00
1729880618.1899998,3230992800000.0,4455,2024-10-25 18:23:38.189999819+00:00,2024-10-25 20:23:38.189999819+02:00
1729880632.59,3186914000000.0,4455,2024-10-25 18:23:52.589999914+00:00,2024-10-25 20:23:52.589999914+02:00
1729880646.99,3212640600000.0,4455,2024-10-25 18:24:06.990000010+00:00,2024-10-25 20:24:06.990000010+02:00
1729880661.3899999,3193031400000.0,4455,2024-10-25 18:24:21.389999866+00:00,2024-10-25 20:24:21.389999866+02:00
1729880675.79,3191523000000.0,4455,2024-10-25 18:24:35.789999962+00:00,2024-10-25 20:24:35.789999962+02:00
1729880690.1899998,3151885600000.0,4455,2024-10-25 18:24:50.189999819+00:00,2024-10-25 20:24:50.189999819+02:00
1729880704.59,3186578800000.0,4455,2024-10-25 18:25:04.589999914+00:00,2024-10-25 20:25:04.589999914+02:00
1729880718.99,3147695600000.0,4455,2024-10-25 18:25:18.990000010+00:00,2024-10-25 20:25:18.990000010+02:00
1729880733.3899999,3176020000000.0,4455,2024-10-25 18:25:33.389999866+00:00,2024-10-25 20:25:33.389999866+02:00
1729880747.79,3179372000000.0,4455,2024-10-25 18:25:47.789999962+00:00,2024-10-25 20:25:47.789999962+02:00
1729880762.1899998,3146103400000.0,4455,2024-10-25 18:26:02.189999819+00:00,2024-10-25 20:26:02.189999819+02:00
1729880776.59,3139567000000.0,4455,2024-10-25 18:26:16.589999914+00:00,2024-10-25 20:26:16.589999914+02:00
1729880790.99,3131689800000.0,4455,2024-10-25 18:26:30.990000010+00:00,2024-10-25 20:26:30.990000010+02:00
1729880805.3899999,3148282200000.0,4455,2024-10-25 18:26:45.389999866+00:00,2024-10-25 20:26:45.389999866+02:00
1729880819.79,3178450200000.0,4455,2024-10-25 18:26:59.789999962+00:00,2024-10-25 20:26:59.789999962+02:00
